,count,mean,std,min,25%,50%,75%,max
feature4610,400.0,0.0772287504925,0.01932992707917102,0.0,0.0684799175,0.079566533,0.08938655250000001,0.13399084
feature4611,400.0,0.06702818289625,0.02339245766981605,0.0,0.05866204775,0.071874597,0.082572622,0.12036426
feature4612,400.0,0.0691732657275,0.02228506385208331,0.0,0.0622347415,0.07501344700000001,0.08284512875,0.13275905
feature4613,400.0,0.07549651783125,0.02794434525881941,0.0,0.0614152805,0.077341505,0.091567308,0.1443788
feature4614,400.0,0.0552203472425,0.019514314589591727,0.0,0.047931868,0.058801593,0.0671294395,0.13832025
feature4615,400.0,0.050529243257749996,0.01903297694905324,0.0,0.04303354875,0.0546190815,0.062687438,0.11885146
feature4616,400.0,0.0628281874575,0.01919926272403709,0.0,0.0531331535,0.06581796200000001,0.075774677,0.12509829
feature4617,400.0,0.1476337065275,0.03400324802229149,0.0,0.1278175,0.144115095,0.1615740725,0.29856992
feature4618,400.0,0.10392489537999999,0.019963192277960763,0.0,0.095501791,0.10425162,0.1136319335,0.19885412
feature4619,400.0,0.070429027555,0.021227960648558225,0.0,0.06301263,0.07505727000000001,0.08437355,0.107774474
feature4620,400.0,0.06486908477625,0.02080648199862392,0.0,0.055617236,0.0694738925,0.0767166625,0.15578975
feature4621,400.0,0.06760770880500001,0.025460760958382688,0.0,0.05498444775,0.06953159,0.0816190045,0.14199258
feature4622,400.0,0.05615513822425,0.018073067219359015,0.0,0.04785410575,0.0584105985,0.06845043249999999,0.09714588
feature4623,400.0,0.0588147077225,0.019677650945496575,0.0,0.050334055749999995,0.06231251,0.07151557,0.11218693
feature4624,400.0,0.08961230033500002,0.018504665221665117,0.0,0.083139815,0.09177909000000001,0.0985114125,0.15708278
feature4625,400.0,0.14896256919,0.030329818964083037,0.0,0.1293999125,0.14587392500000002,0.163449675,0.3130324
feature4626,400.0,0.09287057073999999,0.016716865209428743,0.0,0.084953475,0.0940042925,0.10221087625,0.15575987
feature4627,400.0,0.062217350047499995,0.018047421822487145,0.0,0.05508337,0.066442582,0.07365147,0.09743986
feature4628,400.0,0.05622420616675001,0.017738481526402505,0.0,0.049671856,0.059982798000000004,0.068092903,0.096903816
feature4629,400.0,0.06211661699425,0.02319061836460815,0.0,0.0503820815,0.064245895,0.0756739275,0.13695906
feature4630,400.0,0.05908917214500001,0.019111938078086674,0.0,0.05165104925,0.0634694525,0.0712321875,0.15905225
feature4631,400.0,0.0690592804725,0.02125755889293248,0.0,0.06038437275,0.0727924875,0.0823710965,0.13919653
feature4632,400.0,0.1032244299325,0.020303564382651514,0.0,0.09707675,0.10573552,0.11256483,0.17979573
feature4633,400.0,0.09616535054750001,0.025906786747178914,0.0,0.083791943,0.09434596,0.1061182975,0.2601492
